YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2011,BAN,283,9,4,IND,LOST,DHAKA,INDIA
2011,BAN,205,10,10,IRE,WON,DHAKA,
2011,BAN,58,10,1,WI,LOST,DHAKA,
2011,BAN,227,8,10,ENG,WON,CHATTOGRAM,
2011,BAN,166,4,10,NED,WON,CHATTOGRAM,
2011,BAN,78,10,8,SA,LOST,DHAKA,
,,,,,,,,
2011,IND,370,4,9,BAN,WON,DHAKA,
2011,IND,338,10,8,ENG,TIE,BENGALURU,
2011,IND,210,5,10,IRE,WON,BENGALURU,
2011,IND,191,10,5,NED,WON,DELHI,
2011,IND,296,10,7,SA,LOST,NAGPUR,
2011,IND,268,10,10,WI,WON,CHENNAI,
2011,IND,267,5,6,AUS,WON,AHMEDABAD,
2011,IND,260,9,10,PAK,WON,MOHALI,
2011,IND,277,4,6,SL,WON,MUMBAI,
,,,,,,,,
2011,NZ,72,0,10,KEN,WON,CHENNAI,
2011,NZ,206,10,3,AUS,LOST,NAGPUR,
2011,NZ,166,0,10,ZIM,WON,AHMEDABAD,
2011,NZ,302,7,10,PAK,WON,PALLEKALE,
2011,NZ,358,6,9,CAN,WON,MUMBAI,
2011,NZ,153,10,9,SL,LOST,MUMBAI,
2011,NZ,221,8,10,SA,WON,DHAKA,
2011,NZ,217,10,5,NZ,LOST,COLOMBO,
,,,,,,,,
2011,PAK,317,7,10,KEN,WON,HAMBANTOTA,
2011,PAK,277,7,9,SL,WON,COLOMBO,
2011,PAK,184,10,10,CAN,WON,COLOMBO,
2011,PAK,192,10,7,NZ,LOST,PALLEKALE,
2011,PAK,164,3,7,ZIM,WON,PALLEKALE,
2011,PAK,178,6,10,AUS,WON,COLOMBO,
2011,PAK,113,0,10,WI,WON,DHAKA,
2011,PAK,231,10,9,IND,WON,MOHALI,
,,,,,,,,
2011,KEN,69,10,0,NZ,LOST,CHENNAI,
2011,KEN,112,10,7,PAK,LOST,HAMBANTOTA,
2011,KEN,142,10,1,SL,LOST,COLOMBO,
2011,KEN,198,10,5,CAN,LOST,DELHI,
2011,KEN,264,6,6,AUS,LOST,BENGALURU,
2011,KEN,147,10,6,ZIM,LOST,KOLKATA,
,,,,,,,,
2011,SL,332,7,10,CAN,WON,HAMBANTOTA,
2011,SL,266,9,7,PAK,LOST,COLOMBO,
2011,SL,146,1,10,KEN,WON,COLOMBO,
2011,SL,NR,NR,NR,AUS,NR,COLOMBO,
2011,SL,327,6,10,ZIM,WON,PALLEKALE,
2011,SL,265,9,10,NZ,WON,MUMBAI,
2011,SL,231,0,6,ENG,WON,COLOMBO,
2011,SL,220,5,10,NZ,WON,COLOMBO,
2011,SL,274,6,4,IND,LOST,MUMBAI,
,,,,,,,,
,CAN,122,10,7,SL,LOST,HAMBANTOTA,
,CAN,123,10,9,ZIM,LOST,NAGPUR,
,CAN,138,10,10,PAK,LOST,COLOMBO,
,CAN,199,5,10,KEN,WON,DELHI,
,CAN,261,9,6,NZ,LOST,MUMBAI,
,CAN,211,10,3,AUS,LOST,BENGALURU,
,,,,,,,,
2011,AUS,262,6,10,ZIM,WON,AHMEDABAD,
2011,AUS,207,3,10,NZ,WON,NAGPUR,
2011,AUS,NR,NR,NR,SL,NR,COLOMBO,
2011,AUS,324,6,6,KEN,WON,BENGALURU,
2011,AUS,212,3,10,CAN,WON,BENGALURU,
2011,AUS,176,10,6,PAK,LOST,COLOMBO,
2011,AUS,260,6,5,IND,LOST,AHMEDABAD,
,,,,,,,,
,ZIM,171,10,6,AUS,LOST,AHMEDABAD,
,ZIM,298,9,10,CAN,WON,NAGPUR,
,ZIM,162,10,0,NZ,LOST,AHMEDABAD,
,ZIM,188,10,6,SL,LOST,PALLEKALE,
,ZIM,151,7,3,PAK,LOST,PALLEKALE,
,ZIM,308,6,10,KEN,WON,KOLKATA,
,,,,,,,,
,ENG,296,4,6,NED,WON,NAGPUR,
,ENG,338,9,10,IND,TIE,BENGALURU,
,ENG,327,8,7,IRE,LOST,BENGALURU,
,ENG,171,10,10,SA,WON,CHENNAI,
,ENG,225,10,8,BAN,LOST,CHATTOGRAM,
,ENG,243,10,10,WI,WON,CHENNAI,
,ENG,229,6,0,SL,LOST,COLOMBO,
,,,,,,,,
2011,NED,292,6,4,ENG,LOST,NAGPUR,
2011,NED,115,10,8,WI,LOST,DELHI,
2011,NED,120,10,5,SA,LOST,MOHALI,
2011,NED,189,10,5,IND,LOST,DELHI,
2011,NED,160,10,4,BAN,LOST,CHATTOGRAM,
2011,NED,306,10,4,IRE,LOST,KOLKATA,
,,,,,,,,
2011,SA,223,3,10,WI,WON,DELHI,
2011,SA,351,5,10,NED,WON,MOHALI,
2011,SA,165,10,10,ENG,LOST,CHENNAI,
2011,SA,300,7,10,IND,LOST,NAGPUR,
2011,SA,272,7,10,IRE,LOST,KOLKATA,
2011,SA,284,8,10,BAN,LOST,DHAKA,
2011,SA,172,10,8,NZ,WON,DHAKA,
,,,,,,,,
2011,WI,222,10,3,SA,LOST,DELHI,
2011,WI,330,8,10,NED,WON,DELHI,
2011,WI,59,1,10,BAN,WON,DHAKA,
2011,WI,275,10,10,IRE,WON,MOHALI,
2011,WI,225,10,10,ENG,LOST,CHENNAI,
2011,WI,188,10,10,IND,LOST,CHENNAI,
2011,WI,112,10,0,PAK,LOST,DHAKA,
,,,,,,,,
2011,IRE,178,10,10,BAN,LOST,DHAKA,
2011,IRE,329,7,8,ENG,WON,BENGALURU,
2011,IRE,207,10,5,IND,LOST,BENGALURU,
2011,IRE,231,10,10,WI,LOST,MOHALI,
2011,IRE,141,10,7,SA,LOST,KOLKATA,
2011,IRE,307,4,10,NED,WON,KOLKATA,
