YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2015,NZ,331,6,10,SL,WON,CHRISTCHURCH,AUSTRALIA
,NZ,146,7,10,SCO,WON,DUNEDIN,
,NZ,125,2,10,ENG,WON,WELLINGTON,
,NZ,152,9,10,AUS,WON,AUCKLAND,
,NZ,188,4,10,AFG,WON,NAPIER,
,NZ,290,7,7,BAN,WON,HAMILTON,
,NZ,393,6,10,WI,WON,WELLINGTON,
,NZ,299,6,5,SA,WON,AUCKLAND,
,,,,,AUS,LOST,MELBOURNE,
,,,,,,,,
,SL,233,10,6,NZ,LOST,CHRISTCHURCH,
,SL,236,6,10,AFG,WON,DUNEDIN,
,SL,332,1,10,BAN,WON,MELBOURNE,
,SL,312,1,6,ENG,WON,WELLINGTON,
,SL,312,10,9,AUS,LOST,SYDNEY,
,SL,363,9,10,SCO,WON,HOBART,
,SL,133,10,1,SA,LOST,SYDNEY,
,,,,,,,,
,AUS,342,9,1,ENG,WON,MELBOURNE,
,AUS,NR,NR,NR,BAN,NR,BRISBANE,
,AUS,151,10,9,NZ,LOST,AUCKLAND,
,AUS,417,6,10,AFG,WON,PERTH,
,AUS,376,9,10,SL,WON,SYDNEY,
,AUS,133,3,10,SCO,WON,HOBART,
,AUS,216,4,10,PAK,WON,ADELAIDE,
,AUS,328,7,10,IND,WON,SYDNEY,
,AUS,186,3,10,NZ,WON,MELBOURNE,
,,,,,,,,
,ENG,231,10,9,AUS,LOST,MELBOURNE,
,ENG,123,10,2,NZ,LOST,WELLINGTON,
,ENG,303,8,10,SCO,WON,CHRISTCHURCH,
,ENG,309,6,1,SL,LOST,WELLINGTON,
,ENG,260,10,7,BAN,LOST,ADELAIDE,
,ENG,101,1,7,AFG,WON,SYDNEY,
,,,,,,,,
,SA,339,4,10,ZIM,WON,HAMILTON,
,SA,177,10,7,IND,LOST,MELBOURNE,
,SA,408,5,10,WI,WON,SYDNEY,
,SA,411,4,10,IRE,WON,CANBERRA,
,SA,202,10,10,PAK,LOST,AUCKLAND,
,SA,341,6,10,UAE,WON,WELLINGTON,
,SA,134,1,10,SL,WON,SYDNEY,
,SA,281,5,6,NZ,LOST,AUCKLAND,
,,,,,,,,
,ZIM,277,10,4,SA,LOST,HAMILTON,
,ZIM,286,6,7,UAE,WON,NELSON,
,ZIM,289,10,2,WI,LOST,CANBERRA,
,ZIM,215,10,7,PAK,LOST,BRISBANE,
,ZIM,326,10,8,IRE,LOST,HOBART,
,ZIM,287,10,4,IND,LOST,AUCKLAND,
,,,,,,,,
,IND,300,7,10,PAK,WON,ADELAIDE,
,IND,307,7,10,SA,WON,MELBOURNE,
,IND,104,1,10,UAE,WON,PERTH,
,IND,185,6,10,WI,WON,PERTH,
,IND,260,2,10,IRE,WON,HAMILTON,
,IND,288,4,7,ZIM,WON,AUCKLAND,
,IND,302,6,10,BAN,WON,MELBOURNE,
,IND,233,10,7,AUS,LOST,SYDNEY,
,,,,,,,,
,PAK,224,10,7,IND,LOST,ADELAIDE,
,PAK,160,10,6,WI,LOST,CHRISTCHURCH,
,PAK,235,7,10,ZIM,WON,BRISBANE,
,PAK,339,6,8,UAE,WON,NAPIER,
,PAK,222,10,10,SA,WON,AUCKLAND,
,PAK,241,3,10,IRE,WON,ADELAIDE,
,PAK,231,10,4,AUS,LOST,ADELAIDE,
,,,,,,,,
,IRE,307,6,7,WI,WON,NAPIER,
,IRE,279,8,9,UAE,WON,BRISBANE,
,IRE,210,10,4,SA,LOST,CANBERRA,
,IRE,331,8,10,ZIM,WON,HOBART,
,IRE,259,10,2,IND,LOST,HAMILTON,
,IRE,237,10,3,PAK,LOST,ADELAIDE,
,,,,,,,,
,WI,304,7,6,IRE,LOST,NELSON,
,WI,310,6,10,PAK,WON,CHRISTCHURCH,
,WI,372,2,10,ZIM,WON,CANBERRA,
,WI,151,10,5,SA,LOST,SYDNEY,
,WI,182,10,6,IND,LOST,PERTH,
,WI,176,4,10,UAE,WON,NAPIER,
,WI,250,10,6,NZ,LOST,WELLINGTON,
,,,,,,,,
,SCO,142,10,7,NZ,LOST,DUNEDIN,
,SCO,184,10,8,ENG,LOST,CHRISTCHURCH,
,SCO,210,10,9,AFG,LOST,DUNEDIN,
,SCO,318,8,4,BAN,LOST,NELSON,
,SCO,215,10,9,SL,LOST,HOBART,
,SCO,130,10,3,AUS,LOST,HOBART,
,,,,,,,,
,BAN,267,10,10,AFG,WON,CANBERRA,
,BAN,NR,NR,NR,AUS,NR,BRISBANE,
,BAN,240,10,1,SL,LOST,MELBOURNE,
,BAN,322,4,8,SCO,WON,NELSON,
,BAN,275,7,10,ENG,WON,ADELAIDE,
,BAN,288,7,7,NZ,LOST,HAMILTON,
,BAN,193,10,6,IND,LOST,MELBOURNE,
,,,,,,,,
,UAE,285,7,6,ZIM,LOST,NNE,
,UAE,278,9,8,IRE,LOST,BRISBANE,
,UAE,102,10,1,IND,LOST,PERTH,
,UAE,210,8,6,PAK,LOST,NAPIER,
,UAE,195,10,6,SA,LOST,WELLINGTON,
,UAE,175,10,4,WI,LOST,NAPIER,
,,,,,,,,
,AFG,162,10,10,BAN,LOST,CANBERRA,
,AFG,232,10,6,SL,LOST,DUNEDIN,
,AFG,211,9,10,SCO,WON,DUNEDIN,
,AFG,142,10,6,AUS,LOST,PERTH,
,AFG,186,10,4,NZ,LOST,NAPIER,
,AFG,111,7,1,ENG,LOST,SYDNEY,
