YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2019,ENG,311,8,10,SA,WON,LONDON,ENGLAND
,ENG,334,9,8,PAK,LOST,NOTTINGHAM,
,ENG,386,6,10,BAN,WON,CARDIFF,
,ENG,231,2,10,WI,WON,SOUTHAMPTON,
,ENG,397,6,8,AFG,WON,MANCHESTER ,
,ENG,212,10,9,SL,LOST,LEEDS,
,ENG,221,10,7,AUS,LOST,LONDON,
,ENG,337,7,5,IND,WON,BIRMINGHAM,
,ENG,305,8,10,NZ,WON,CHESTER-LE-STREET,
,ENG,226,2,10,AUS,WON,BIRMINGHAM,
,ENG,241,10,8,NZ,WON,LONDON,
,,,,,,,,
,SA,207,10,8,ENG,LOST,LONDON,
,SA,309,8,6,BAN,LOST,LONDON,
,SA,227,9,4,IND,LOST,SOUTHAMPTON,
,SA,NR,NR,NR,WI,NR,SOUTHAMPTON,
,SA,131,1,10,AFG,WON,CARDIFF,
,SA,241,6,6,NZ,LOST,BIRMINGHAM,
,SA,259,9,7,PAK,LOST,LONDON,
,SA,206,1,10,SL,WON,CHESTER-LE-STREET,
,SA,325,6,10,AUS,WON,MANCHESTER ,
,,,,,,,,
,WI,108,3,10,PAK,WON,NOTTINGHAM,
,WI,273,9,10,AUS,LOST,NOTTINGHAM,
,WI,NR,NR,NR,SA,NR,SOUTHAMPTON,
,WI,212,10,2,ENG,LOST,SOUTHAMPTON,
,WI,321,8,3,BAN,LOST,TAUNTON,
,WI,286,10,8,NZ,LOST,MANCHESTER ,
,WI,143,10,7,IND,LOST,MANCHESTER ,
,WI,315,9,6,SL,LOST,CHESTER-LE-STREET,
,WI,311,6,10,AFG,WON,LEEDS,
,,,,,,,,
,PAK,105,10,3,WI,LOST,NOTTINGHAM,
,PAK,348,8,9,ENG,WON,NOTTINGHAM,
,PAK,NR,NR,NR,SL,NR,BRISTOL,
,PAK,266,10,10,AUS,LOST,TAUNTON,
,PAK,212,6,5,IND,LOST,MANCHESTER ,
,PAK,308,7,9,SA,WON,LONDON,
,PAK,241,4,6,NZ,WON,BIRMINGHAM,
,PAK,230,7,9,AFG,WON,LEEDS,
,PAK,315,9,10,BAN,WON,LONDON,
,,,,,,,,
,NZ,137,0,10,SL,WON,CARDIFF,
,NZ,248,8,10,BAN,WON,LONDON,
,NZ,173,3,10,AFG,WON,TAUNTON,
,NZ,NR,NR,NR,IND,NR,NOTTINGHAM,
,NZ,245,6,6,SA,WON,BIRMINGHAM,
,NZ,291,8,10,WI,WON,MANCHESTER ,
,NZ,237,6,4,PAK,LOST,BIRMINGHAM,
,NZ,157,10,9,AUS,LOST,LONDON,
,NZ,186,10,8,ENG,LOST,CHESTER-LE-STREET,
,NZ,239,8,10,IND,WON,MANCHESTER ,
,NZ,241,8,10,ENG,LOST,LONDON,
,,,,,,,,
,SL,136,10,0,NZ,LOST,CARDIFF,
,SL,201,10,10,AFG,WON,CARDIFF,
,SL,NR,NR,NR,PAK,NR,BRISTOL,
,SL,NR,NR,NR,BAN,NR,BRISTOL,
,SL,247,10,7,AUS,LOST,LONDON,
,SL,232,9,10,ENG,WON,LEEDS,
,SL,203,10,1,SA,LOST,CHESTER-LE-STREET,
,SL,338,6,9,WI,WON,CHESTER-LE-STREET,
,SL,264,7,3,IND,LOST,LEEDS,
,,,,,,,,
,AFG,207,10,3,AUS,LOST,BRISTOL,
,AFG,152,10,10,SL,LOST,CARDIFF,
,AFG,172,10,3,NZ,LOST,TAUNTON,
,AFG,125,10,1,SA,LOST,CARDIFF,
,AFG,247,8,6,ENG,LOST,MANCHESTER ,
,AFG,213,10,8,IND,LOST,SOUTHAMPTON,
,AFG,200,10,7,BAN,LOST,SOUTHAMPTON,
,AFG,227,9,7,PAK,LOST,LEEDS,
,AFG,288,10,6,WI,LOST,LEEDS,
,,,,,,,,
,AUS,209,3,10,AFG,WON,BRISTOL,
,AUS,288,10,9,WI,WON,NOTTINGHAM,
,AUS,316,10,5,IND,LOST,LONDON,
,AUS,307,10,10,PAK,WON,TAUNTON,
,AUS,334,7,10,SL,WON,LONDON,
,AUS,381,5,8,BAN,WON,NOTTINGHAM,
,AUS,285,7,10,ENG,WON,LONDON,
,AUS,243,9,10,NZ,WON,LONDON,
,AUS,315,10,6,SA,LOST,MANCHESTER ,
,AUS,223,10,2,ENG,LOST,BIRMINGHAM,
,,,,,,,,
,BAN,330,6,8,SA,WON,LONDON,
,BAN,244,10,8,NZ,LOST,LONDON,
,BAN,280,10,6,ENG,LOST,CARDIFF,
,BAN,NR,NR,NR,SL,NR,BRISTOL,
,BAN,322,3,8,WI,WON,TAUNTON,
,BAN,333,5,8,AUS,LOST,NOTTINGHAM,
,BAN,262,7,10,AFG,WON,SOUTHAMPTON,
,BAN,286,10,9,IND,LOST,BIRMINGHAM,
,BAN,221,10,9,PAK,LOST,LONDON,
,,,,,,,,
,IND,230,4,9,SA,WON,SOUTHAMPTON,
,IND,352,5,10,AUS,WON,LONDON,
,IND,NR,NR,NR,NZ,NR,NOTTINGHAM,
,IND,336,5,6,PAK,WON,MANCHESTER ,
,IND,224,8,10,AFG,WON,SOUTHAMPTON,
,IND,268,7,10,WI,WON,MANCHESTER ,
,IND,306,5,7,ENG,WON,BIRMINGHAM,
,IND,314,9,10,BAN,WON,BIRMINGHAM,
,IND,265,3,7,SL,WON,LEEDS,
,IND,221,10,8,NZ,LOST,MANCHESTER ,
